word,video_file,landmarks_file,landmarks_hands_only_file,num_frames,avg_landmarks,valid_frame_ratio,signer_id,avg_hands_detected,both_hands_ratio,one_hand_ratio,no_hand_ratio
HOLA,data/raw_videos/HOLA/HOLA_rep_2_114458.mp4,data/landmarks/HOLA/HOLA_rep_2_114458.npy,data/landmarks_hands_only/HOLA/HOLA_rep_2_114458.npy,60,52.95,0.95,0,0.95,0.0,0.95,0.05
HOLA,data/raw_videos/HOLA/HOLA_rep_1_121412.mp4,data/landmarks/HOLA/HOLA_rep_1_121412.npy,data/landmarks_hands_only/HOLA/HOLA_rep_1_121412.npy,60,51.55,0.8833333333333333,0,0.8833333333333333,0.0,0.8833333333333333,0.11666666666666667
HOLA,data/raw_videos/HOLA/HOLA_rep_1_110156.mp4,data/landmarks/HOLA/HOLA_rep_1_110156.npy,data/landmarks_hands_only/HOLA/HOLA_rep_1_110156.npy,60,53.65,0.9833333333333333,0,0.9833333333333333,0.0,0.9833333333333333,0.016666666666666666
HOLA,data/raw_videos/HOLA/HOLA_rep_3_110250.mp4,data/landmarks/HOLA/HOLA_rep_3_110250.npy,data/landmarks_hands_only/HOLA/HOLA_rep_3_110250.npy,60,53.3,0.9666666666666667,0,0.9666666666666667,0.0,0.9666666666666667,0.03333333333333333
HOLA,data/raw_videos/HOLA/HOLA_rep_1_121616.mp4,data/landmarks/HOLA/HOLA_rep_1_121616.npy,data/landmarks_hands_only/HOLA/HOLA_rep_1_121616.npy,60,50.5,0.8333333333333334,0,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666
HOLA,data/raw_videos/HOLA/HOLA_rep_2_121630.mp4,data/landmarks/HOLA/HOLA_rep_2_121630.npy,data/landmarks_hands_only/HOLA/HOLA_rep_2_121630.npy,60,52.95,0.95,0,0.95,0.0,0.95,0.05
HOLA,data/raw_videos/HOLA/HOLA_rep_2_110017.mp4,data/landmarks/HOLA/HOLA_rep_2_110017.npy,data/landmarks_hands_only/HOLA/HOLA_rep_2_110017.npy,60,53.65,0.9833333333333333,0,0.9833333333333333,0.0,0.9833333333333333,0.016666666666666666
HOLA,data/raw_videos/HOLA/HOLA_rep_0_114603.mp4,data/landmarks/HOLA/HOLA_rep_0_114603.npy,data/landmarks_hands_only/HOLA/HOLA_rep_0_114603.npy,60,53.65,0.9833333333333333,0,0.9833333333333333,0.0,0.9833333333333333,0.016666666666666666
HOLA,data/raw_videos/HOLA/HOLA_rep_2_121751.mp4,data/landmarks/HOLA/HOLA_rep_2_121751.npy,data/landmarks_hands_only/HOLA/HOLA_rep_2_121751.npy,60,51.9,0.9,0,0.9,0.0,0.9,0.1
HOLA,data/raw_videos/HOLA/HOLA_rep_2_110202.mp4,data/landmarks/HOLA/HOLA_rep_2_110202.npy,data/landmarks_hands_only/HOLA/HOLA_rep_2_110202.npy,60,53.65,0.9833333333333333,0,0.9833333333333333,0.0,0.9833333333333333,0.016666666666666666
